2026-08-01 18:36:52 | INFO     | framework.base_page | Navigating to https://www.saucedemo.com
2026-08-01 18:36:52 | DEBUG    | framework.base_page | Filling '' into: #user-name
2026-08-01 18:36:52 | DEBUG    | framework.base_page | Filling 'secret_sauce' into: #password
2026-08-01 18:36:52 | DEBUG    | framework.base_page | Clicking: #login-button
2026-08-01 18:36:53 | INFO     | framework.driver_factory | Browser session closed.
2026-08-01 18:36:53 | INFO     | framework.driver_factory | Launching browser=chromium headless=True size=1440x900
2026-08-01 18:36:53 | INFO     | framework.base_page | Navigating to https://www.saucedemo.com
2026-08-01 18:36:53 | DEBUG    | framework.base_page | Filling 'standard_user' into: #user-name
2026-08-01 18:36:53 | DEBUG    | framework.base_page | Filling '' into: #password
2026-08-01 18:36:53 | DEBUG    | framework.base_page | Clicking: #login-button
2026-08-01 18:36:54 | INFO     | framework.driver_factory | Browser session closed.
2026-08-01 18:36:54 | INFO     | framework.driver_factory | Launching browser=chromium headless=True size=1440x900
2026-08-01 18:36:54 | INFO     | framework.base_page | Navigating to https://www.saucedemo.com
2026-08-01 18:36:55 | DEBUG    | framework.base_page | Filling 'standard_user' into: #user-name
2026-08-01 18:36:55 | DEBUG    | framework.base_page | Filling 'secret_sauce' into: #password
2026-08-01 18:36:55 | DEBUG    | framework.base_page | Clicking: #login-button
2026-08-01 18:36:55 | INFO     | framework.driver_factory | Browser session closed.
